"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"11/16/2014","Egg, Scrambled, Large","Breakfast","3.0","Each","306","22.34","20.29","4.3","3.17","0","644.16","512.40"
"11/16/2014","Shrimp, Cooked","Breakfast","18.0","Each","98","1.7","20.70","0","0","0","193.5","221.76"
"11/16/2014","Cheese, Mozzarella, Shredded","Breakfast","2.0","Ounces","90","6","10","0","0","0","20","380"
"11/16/2014","Sauce, Pasta, Marinara","Breakfast","4.0","Fluid ounces","79","3.45","1.97","8.87","4.93","2.96","0","492.89"
"11/16/2014","Home Fries Diced & Seasoned","Breakfast","3.0","Ounces","70","0","2","16","0","2","0","380"
"11/16/2014","Biscuit","Breakfast","1.0","Each","186","8.41","3.16","24.73","1.77","0.66","0.51","536.52"
"11/16/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/16/2014","Ice Cream, Vanilla","Lunch","1.5","Cups","410","21.78","6.93","46.73","42.2","1.39","87.12","158.40"
"11/16/2014","Pizza; 2014/11/16","Dinner","4.0","Servings","453","14.88","25.75","53.75","3.25","1.75","30","1372.50"
"11/16/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/16/2014","Soup, Carrot Ginger, Trader Joe's, 1 Cup (240ml)","Snacks","4.0","Cups","320","4","4","68","24","4","0","1280"
"11/16/2014","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.69","0","12.20","107.36"
"11/15/2014","Egg Whites","Breakfast","1.0","Cup","133","0","26.67","0","0","0","0","400"
"11/15/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"11/15/2014","Egg, Large","Breakfast","2.0","Each","143","9.94","12.57","0.78","0.77","0","423","140"
"11/15/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/15/2014","Brown Rice Microwave","Lunch","1.0","Cup","230","2","5","49","0","3","0","1.95"
"11/15/2014","Avocado","Lunch","0.25","Each","80","7.37","1","4.29","0.33","3.37","0","3.52"
"11/15/2014","Shrimp, Cooked","Lunch","18.0","Each","98","1.7","20.70","0","0","0","193.5","221.76"
"11/15/2014","Marinade, Teriyaki Sauce","Lunch","0.5","Cup","160","0","0","32","24","0","0","2080"
"11/15/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"11/15/2014","Wine, Red","Dinner","4.0","Fluid ounces","100","0","0.8","3.7","0.73","0","0","4.70"
"11/15/2014","Tritip","Dinner","6.0","Ounces","270","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/15/2014","Chicken Breast, Raw","Dinner","1.0","Ounce","30","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/15/2014","Cole Slaw, Homemade","Dinner","1.0","Cup","94","3.13","1.55","14.89","0","1.80","9.60","27.60"
"11/15/2014","Mashed Potatoes, Homemade w/ Whole Milk & Butter","Dinner","1.0","Cup","237","8.86","3.91","35.30","3","3.15","23.10","665.70"
"11/15/2014","Bread, French Baguette","Dinner","1.0","Ounce","68","0.20","2.50","14","0","0.30","0","152"
"11/15/2014","Butter, Salted","Dinner","1.0","Teaspoon","34","3.84","0.4","0","0","0","10.18","27.26"
"11/15/2014","Whiskey, 80 Proof","Dinner","1.0","Fluid ounce","64","0","0","0","0","0","0","0.28"
"11/15/2014","Donut, Glazed","Snacks","1.0","Each","260","14","3","31","12","1","0","330"
"11/15/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/15/2014","Cookie, Chocolate Chip, Large","Snacks","1.0","Each","190","9.32","2.5","25.54","14.6","0.96","0","118.40"
"11/15/2014","Creme Brulee","Snacks","1.0","Each","343","22","3","27","n/a","0","n/a","27"
"11/15/2014","Wine, Dessert, Sweet","Snacks","2.0","Fluid ounces","93","0","0.12","7.94","4.51","0","0","5.22"
"11/14/2014","Broccoli","Breakfast","3.0","Ounces","25","0","3","4","2","2","0","25"
"11/14/2014","Chicken Breast, Raw","Breakfast","4.0","Ounces","120","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/14/2014","Egg Whites, Large, Ckd","Breakfast","2.0","Each","50","0","11.83","0.75","0","0","0","150.97"
"11/14/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/14/2014","Apple, Medium","Breakfast","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/14/2014","Calamari","Lunch","3.5","Ounces","174","7.42","17.79","7.73","0","0","257.83","303.45"
"11/14/2014","White Kidney Beans (cannellini)","Lunch","0.5","Cup","120","0","8","21","0","10","0","260"
"11/14/2014","Sauce, Pesto","Lunch","1.0","Tablespoon","63","6.50","0.75","0.75","0","0","0","210"
"11/14/2014","Chicken Breast, Raw","Lunch","3.0","Ounces","90","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/14/2014","Pine Nuts (Pignolias)","Lunch","1.0","Tablespoon","50","5","1","1","0.25","1","0","1.25"
"11/14/2014","Oil, Olive, Extra Virgin","Lunch","2.0","Teaspoons","80","9.33","0","0","0","0","0","0"
"11/14/2014","Raisins, Natural, Calif","Lunch","0.25","Cup","130","0","1","31","29","2","0","10"
"11/14/2014","Rice, White, Medium Grain, Cooked","Dinner","0.25","Cup","60","0.10","1.11","13.29","0","0.14","0","0"
"11/14/2014","Chicken Breast Skinless - Raw","Dinner","3.0","Ounces","90","1.50","18.75","0","0","0","52.50","7.50"
"11/14/2014","Tritip","Dinner","3.0","Ounces","135","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/14/2014","Quinoa, Cooked","Dinner","2.0","Tablespoons","28","0.44","1.2","4.93","0","0.65","0","1.62"
"11/14/2014","Dressing, Balsamic Vinaigrette","Dinner","0.5","Tablespoon","25","2.75","0","0.50","0.50","0","0","15"
"11/14/2014","Sauce, Curry, Red, Thai","Dinner","0.25","Cup","90","6","1","7","4","0","0","500"
"11/14/2014","Peanut Butter, Creamy","Dinner","0.5","Tablespoon","47","4.3","2.1","1.56","0.74","0.48","0","36.72"
"11/14/2014","Apple, Large","Dinner","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/14/2014","Frozen Yogurt, All Flavors, Non Chocolate","Snacks","0.75","Cup","166","4.70","3.92","28.19","26","0","16.96","82.22"
"11/14/2014","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/14/2014","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/14/2014","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.69","0","12.20","107.36"
"11/14/2014","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.69","0","12.20","107.36"
"11/14/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/13/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"11/13/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"11/13/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"11/13/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/13/2014","Home Fries Diced & Seasoned","Breakfast","1.0","Ounce","23","0","0.67","5.33","0","0.67","0","126.67"
"11/13/2014","Sausage, Chorizo, Pork & Beef, Link","Breakfast","0.125","Each","34","2.87","1.81","0.14","0","0","6.60","92.63"
"11/13/2014","Chips, Tortilla, White Corn","Breakfast","3.0","Pieces","30","1.50","0.43","3.21","0","0.43","0","17.14"
"11/13/2014","Beans, Kidney, Red","Lunch","1.0","Cup","180","2","14","38","2","16","0","700"
"11/13/2014","Kale, Chinese, Cooked","Lunch","1.0","Cup","19","0.63","1","3.35","0.74","2.20","0","6.16"
"11/13/2014","Fish, Tilapia, Cooked","Lunch","2.0","Ounces","73","1.51","14.91","0","0","0","32.49","31.92"
"11/13/2014","Oil, Olive, Extra Virgin","Lunch","1.0","Teaspoon","40","4.67","0","0","0","0","0","0"
"11/13/2014","Melon, Cantaloupe, Cubes","Lunch","1.0","Cup","54","0.30","1.34","13.6","12.58","1.44","0","25.60"
"11/13/2014","Frozen Yogurt, All Flavors, Non Chocolate","Lunch","0.75","Cup","166","4.70","3.92","28.19","26","0","16.96","82.22"
"11/13/2014","Capuccino","Lunch","1.0","Serving","120","5","2","17","13","0","0","115"
"11/13/2014","Apple, Large","Dinner","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/13/2014","Macaroni And Cheese","Dinner","0.5","Cup","100","2.50","4","15","3","1","5","380"
"11/13/2014","Enchilada, Cheese, Fast Food","Dinner","0.5","Each","160","9.42","4.82","14.27","0","0","22","392.1"
"11/13/2014","Cheese, Feta, Crumbled","Dinner","2.0","Tablespoons","70","4","6","2","1","0","15","340"
"11/13/2014","Dressing, Balsamic Vinaigrette","Dinner","1.0","Tablespoon","50","5.50","0","1","1","0","0","30"
"11/13/2014","Avocado","Dinner","0.25","Each","80","7.37","1","4.29","0.33","3.37","0","3.52"
"11/13/2014","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/13/2014","Brown Rice Microwave","Snacks","0.25","Cup","58","0.50","1.25","12.25","0","0.75","0","0.49"
"11/13/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/13/2014","Apricot, Preserves, Organic, Reduced Sugar","Snacks","1.0","Tablespoon","30","0","0","7","7","0","0","0"
"11/13/2014","Bread Whole Wheat Sprouted","Snacks","1.0","Serving","90","0.50","5","19","2","5","0","160"
"11/13/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","0","19.52","114.68"
"11/13/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","0","19.52","114.68"
"11/13/2014","Mochi Green Tea","Snacks","1.0","Piece","108","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/12/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"11/12/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"11/12/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"11/12/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/12/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"11/12/2014","Bread Pudding; Sausage; 2014/10/03","Breakfast","0.25","Serving","78","3.67","5.22","5.59","0.98","0.22","33.52","182.13"
"11/12/2014","Beef Broth, Gluten Free, Low Fat","Lunch","2.0","Cups","30","0","4","2","2","0","10","1140"
"11/12/2014","Noodle, Chinese, Shandong Ramen","Lunch","2.0","Ounces","200","0.75","7","41.50","1","1","0","525"
"11/12/2014","Calamari","Lunch","2.0","Ounces","99","4.24","10.17","4.41","0","0","147.33","173.40"
"11/12/2014","Pork, Pulled, w/ Bbq Sauce","Lunch","2.0","Ounces","96","4","9.59","5.60","5.60","0","19.99","123.93"
"11/12/2014","Beef, Brisket, Whole, Cooked, 1/8 Trim","Lunch","1.0","Ounce","94","6.94","7.32","0","0","0","26.35","18.13"
"11/12/2014","Capuccino","Lunch","1.0","Serving","120","5","2","17","13","0","0","115"
"11/12/2014","Chicken Breast, Raw","Dinner","8.0","Ounces","240","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"11/12/2014","Brussels Sprouts - Microwaveable","Dinner","0.5","Package","105","6","4.50","10.50","3","4.50","0","90"
"11/12/2014","Stuffing, From Mix","Dinner","1.0","Cup","354","17.20","6.40","43.40","4.22","5.80","0","1086"
"11/12/2014","Sauce, Cranberry, Sweetened, 1/2 Slice, Canned","Dinner","0.5","Each","43","0.4","0.6","11.9","10.80","0.28","0","8.27"
"11/12/2014","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/12/2014","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/12/2014","Vegetable Samosa","Snacks","2.0","Pieces","170","6","5","22","2","3","0","350"
"11/12/2014","Chutney, Ginger","Snacks","1.0","Tablespoon","46","2","n/a","7","6","1","0","450"
"11/12/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"11/12/2014","Cheesecake","Snacks","0.25","Piece","64","4.50","1.10","5.10","4.36","0.8","11","41.40"
"11/12/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"11/12/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","0","19.52","114.68"
"11/11/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"11/11/2014","Egg Whites, Large, Ckd","Breakfast","3.0","Each","75","0","17.74","1.13","0","0","0","226.45"
"11/11/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/11/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","0","180"
"11/11/2014","Mongolian Beef","Lunch","1.0","Each","200","7.1","16.3","18.4","6.1","2","25.5","1001.97"
"11/11/2014","Bok Choy","Lunch","1.0","Cup","7","0","0.67","1.33","0.67","0.67","0","30"
"11/11/2014","Shrimp, Cooked","Lunch","6.0","Each","33","0.36","6.90","0","0","0","64.35","73.92"
"11/11/2014","Cucumber, Sliced","Lunch","20.0","Slices","17","0.22","0.83","3.2","1.93","0.98","0","2.80"
"11/11/2014","Balsamic Vinegar, White","Lunch","1.0","Tablespoon","5","0","0","2","2","0","0","5"
"11/11/2014","Sugar, Granulated","Lunch","1.0","Tablespoon","49","0","0","12.60","12.57","0","0","0.13"
"11/11/2014","Yogurt, Greek, Plain, Nonfat","Lunch","5.333","Ounces","89","0","16","6.22","6.22","0","0","71.11"
"11/11/2014","Grapes, Red European","Lunch","1.0","Cup","104","0.24","1.9","27.33","23.37","1.36","0","3.2"
"11/11/2014","Apple, Medium","Lunch","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/11/2014","Salmon","Dinner","3.0","Ounces","143","7.50","18","0","0","0","52.50","41.25"
"11/11/2014","Chicken Breast Skinless - Raw","Dinner","4.0","Ounces","120","2","25","0","0","0","70","10"
"11/11/2014","Cheese, Provolone, Slice","Dinner","1.0","Each","98","7.45","7.16","0.60","0.16","0","19.32","245.28"
"11/11/2014","White Kidney Beans (cannellini)","Dinner","0.333","Cup","80","0","5.33","13.99","0","6.66","0","173.16"
"11/11/2014","Ham, Honey, Smoked","Dinner","6.0","Ounces","208","4.3","30.50","12.37","0","0","37.42","1530.90"
"11/11/2014","Chips, Tortilla, White Corn","Snacks","3.0","Pieces","30","1.50","0.43","3.21","0","0.43","0","17.14"
"11/11/2014","Guacamole, Med","Snacks","1.0","Tablespoon","27","2.30","0.40","1.85","0.15","1.20","0","59.75"
"11/11/2014","Bread Whole Wheat Sprouted","Snacks","0.5","Serving","45","0.25","2.50","9.50","1","2.50","0","80"
"11/11/2014","Cheese, Cheddar, Slice","Snacks","0.5","Each","56","4.64","3.49","0.18","0.7","0","14.70","86.94"
"11/11/2014","Candy, Chocolate, Peanut","Snacks","7.0","Pieces","86","4.28","1.56","10.11","8.56","0.39","1.94","7.78"
"11/11/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/11/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/11/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","0","19.52","114.68"
"11/11/2014","Bread Whole Wheat Sprouted","Snacks","1.0","Serving","90","0.50","5","19","2","5","0","160"
"11/11/2014","Blueberry Preserves","Snacks","1.0","Tablespoon","50","0","0","13","12","0","0","5"
"11/10/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"11/10/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"11/10/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"11/10/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/10/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"11/10/2014","Pizza 16 (Amici's Combo ScaleD)","Lunch","0.5","Slice","185","9.38","8.13","16.88","1","1","22.75","718.25"
"11/10/2014","Chicken Breast Skinless - Raw","Lunch","8.0","Ounces","240","4","50","0","0","0","140","20"
"11/10/2014","Salad, Field Greens","Lunch","1.0","Cup","22","0.10","1.73","4.47","2.22","1.39","0","36.5"
"11/10/2014","Oil, Olive, Extra Virgin","Lunch","1.0","Teaspoon","40","4.67","0","0","0","0","0","0"
"11/10/2014","Apple, Medium","Lunch","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/10/2014","Capuccino","Lunch","1.0","Serving","120","5","2","17","13","0","0","115"
"11/10/2014","Salad, Field Greens","Dinner","1.0","Cup","22","0.10","1.73","4.47","2.22","1.39","0","36.5"
"11/10/2014","Beets, Slices","Dinner","0.25","Cup","15","0.6","0.55","3.25","2.30","0.95","0","26.52"
"11/10/2014","Dressing, Balsamic Vinaigrette","Dinner","1.0","Tablespoon","50","5.50","0","1","1","0","0","30"
"11/10/2014","Mashed Potatoes, Homemade w/ Whole Milk & Butter","Dinner","1.0","Cup","237","8.86","3.91","35.30","3","3.15","23.10","665.70"
"11/10/2014","Chicken, Thigh, Skinless, Cooked","Dinner","1.0","Each","109","5.66","13.49","0","0","0","49.40","45.76"
"11/10/2014","Pork, Pulled, w/ Bbq Sauce","Dinner","4.0","Ounces","192","8","19.19","11.19","11.19","0","39.98","247.86"
"11/10/2014","Chicken, Drumstick, Skinless, Cooked","Dinner","1.0","Each","76","2.49","12.45","0","0","0","40.92","41.80"
"11/10/2014","Cookie, Chocolate Chip, Large","Dinner","1.0","Each","190","9.32","2.5","25.54","14.6","0.96","0","118.40"
"11/10/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/10/2014","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"11/10/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","0","19.52","114.68"
"11/10/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/16/2014","Walking","Exercise","20","minutes","59.7721"
"11/15/2014","Walking","Exercise","40","minutes","118.592"
"11/15/2014","Walking","Exercise","40","minutes","118.592"
"11/12/2014","Walking","Exercise","30","minutes","89.0"
