"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"05/10/2015","Egg, Large","Breakfast","2.0","Each","143","9.94","12.57","0.78","0.77","0","423","140"
"05/10/2015","Egg Yolks, Uncooked, Large Egg","Breakfast","1.0","Each","54","4.51","2.70","0.61","0.10","0","209.78","8.16"
"05/10/2015","Butter, Unsalted","Breakfast","2.0","Tablespoons","201","22.71","0.24","0.2","0.2","0","60.20","3.8"
"05/10/2015","Lunchmeat, Ham, Honey, Slice","Breakfast","2.0","Pieces","47","1.47","7.1","1.30","1.30","0","18.90","524.16"
"05/10/2015","English Muffin","Breakfast","1.0","Each","132","1.3","4.56","26.22","0","0","0","196.65"
"05/10/2015","Potatoes, Cooked in Skin, Peeled, Diced","Breakfast","1.5","Cups","204","0.23","4.38","47.10","2.4","4.21","0","9.36"
"05/10/2015","Juice, Orange","Breakfast","16.0","Fluid ounces","223","0.99","3.47","51.58","41.66","0.99","0","4.96"
"05/10/2015","Preserves, Strawberry","Lunch","2.0","Tablespoons","100","0","0","26","24","0","0","0"
"05/10/2015","Greek Yogurt, Whole","Lunch","1.0","Cup","220","11","20","9","9","0","30","80"
"05/10/2015","Papa Double'","Dinner","1.0","Serving","160","0.8","0.44","8.23","0.51","0.12","0","1.78"
"05/10/2015","Bread, French Baguette","Dinner","1.0","Ounce","68","0.20","2.50","13.99","0","0.30","0","151.91"
"05/10/2015","Crackers, Soda","Dinner","2.0","Each","25","0.53","0.57","4.46","0.13","0.17","0","66.96"
"05/10/2015","Hard Cider","Dinner","16.0","Ounces","268","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"05/10/2015","Cheese, Blue, Cube","Dinner","1.0","Ounce","99","8.5","5.99","0.66","0.14","0","21","390.60"
"05/10/2015","Whipped Cream","Dinner","1.0","Serving","118","9","0","0","n/a","n/a","30","0"
"05/10/2015","Blueberries","Dinner","0.5","Cup","42","0.24","0.55","10.72","7.37","1.78","0","0.74"
"05/10/2015","Quinoa, Red, Organic","Dinner","0.125","Cup","85","1.15","3","15.50","0","3.50","0","15.50"
"05/10/2015","Dressing, Balsamic Vinaigrette","Dinner","1.0","Tablespoon","45","4.50","0","1.50","0.50","0","0","175"
"05/10/2015","Chocolate, Dark, Caramel","Dinner","1.333","Ounces","177","11.79","1.96","20.63","14.73","1.96","4.91","29.47"
"05/10/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"05/10/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"05/10/2015","Ginger Chew","Snacks","3.0","Pieces","60","0","0","15","15","0","0","0"
"05/09/2015","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
