"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"07/27/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"07/27/2014","Cream, Half & Half","Breakfast","2.0","Tablespoons","39","3.45","0.89","1.29","0.5","0","11.10","12.30"
"07/27/2014","Egg, Scrambled, Large","Breakfast","1.0","Each","102","7.45","6.76","1.34","1.6","0","214.72","170.80"
"07/27/2014","Peach Berry Scone","Breakfast","1.0","Serving","330","9","7","55","n/a","n/a","60","330"
"07/27/2014","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"07/27/2014","Chips, Tortilla, White Corn","Lunch","20.0","Pieces","200","10","2.86","21.43","0","2.86","0","114.28"
"07/27/2014","Salsa Autentica","Lunch","0.25","Cup","20","0","0","4","0","0","0","520"
"07/27/2014","Tortilla, Corn","Lunch","4.0","Each","209","2.74","5.47","42.85","0.84","6.5","0","43.20"
"07/27/2014","Rice, White, Medium Grain, Cooked","Lunch","0.5","Cup","121","0.20","2.21","26.59","0","0.28","0","0"
"07/27/2014","Corn, Yellow, Sweet, Kernels","Lunch","0.5","Cup","60","0.75","2.25","14.24","6","0.75","0","7.50"
"07/27/2014","Peppers, Bell, Med, Fresh","Lunch","1.0","Each","24","0.20","1.2","5.52","2.86","2.2","0","3.57"
"07/27/2014","Shrimp, Cooked","Lunch","4.0","Each","22","0.24","4.60","0","0","0","42.90","49.28"
"07/27/2014","Crab, Blue, Cooked","Lunch","4.0","Ounces","116","2.1","22.89","0","0","0","113.33","316.20"
"07/27/2014","Oil, Olive, Extra Virgin","Lunch","0.5","Tablespoon","60","7","0","0","0","0","0","0"
"07/27/2014","Zucchini","Dinner","10.0","Pieces","40","0","2.67","8","5.33","2.67","0","13.33"
"07/27/2014","Peppers, Baby Bell, Sweet","Dinner","2.0","Each","17","0","0.67","3.33","2","0.67","0","0"
"07/27/2014","Frenched Rack Of Lamb","Dinner","4.0","Pieces","540","44","32","4","n/a","n/a","130","700"
"07/27/2014","Corn","Dinner","0.75","Cup","112","1.12","3.37","23.61","7.87","1.12","0","11.24"
"07/27/2014","Tomatoes, Cherry","Dinner","4.0","Each","12","0.14","0.60","2.67","1.79","0.82","0","3.40"
"07/27/2014","Ginger Chew","Snacks","4.0","Pieces","107","0","0","26.67","26.67","0","0","0"
"07/27/2014","Grapes, Green European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","4.8","0","9.6"
"07/27/2014","Strawberries, Whole","Snacks","3.0","Cups","138","1.30","2.89","33.18","21.12","8.64","0","4.32"
"07/26/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"07/26/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"07/26/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"07/26/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"07/26/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","1","0","160"
"07/26/2014","Greek Yogurt, Plain, Nonfat","Lunch","4.0","Cups","480","0","88","28","24","0","0","280"
"07/26/2014","Blackberries","Lunch","2.5","Cups","155","1.76","5","34.60","17.57","19.8","0","3.60"
"07/26/2014","Pizza 20 (Amici's Combo Scaled)","Dinner","0.25","Serving","1,140","58","50","104","n/a","n/a","130","4420"
"07/26/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"07/26/2014","Ginger Chew","Snacks","10.0","Pieces","267","0","0","66.67","66.67","0","0","0"
"07/26/2014","Smoothie; Pineapple & Mango","Snacks","1.0","Serving","197","2.37","9.22","35.18","32.19","2.50","12.20","107.36"
"07/25/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"07/25/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"07/25/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"07/25/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"07/25/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","1","0","160"
"07/25/2014","Greek Yogurt (non fat)","Lunch","4.0","Cups","480","0","88","36","36","0","60","320"
"07/25/2014","Blackberries","Lunch","2.5","Cups","155","1.76","5","34.60","17.57","19.8","0","3.60"
"07/25/2014","Udon Soup Bowl","Dinner","1.0","Serving","240","0.50","7","52","4","4","0","460"
"07/25/2014","Ribeye Steak","Dinner","9.0","Ounces","608","47.25","45","0","0","0","135","135"
"07/25/2014","Beef Broth, Gluten Free, Low Fat","Dinner","0.5","Cup","8","0","1","0.50","0.50","0","2.50","285"
"07/25/2014","Soy Sauce, Low Sodium","Dinner","0.125","Cup","19","0.3","1.86","3.6","0.61","0.29","0","1199.88"
"07/25/2014","Beef Broth, Gluten Free, Low Fat","Dinner","0.125","Cup","2","0","0.25","0.13","0.13","0","0.63","71.25"
"07/25/2014","Cucumber, Fresh, Med","Dinner","1.0","Cup","16","0.11","0.68","3.78","1.74","0.52","0","2.8"
"07/25/2014","Honey, Light","Dinner","1.0","Tablespoon","64","0","0.6","17.30","17.25","0.4","0","0.84"
"07/25/2014","Vinegar, Balsamic","Dinner","0.5","Tablespoon","10","0","0","2.50","2.50","0","0","0"
"07/25/2014","Pluot","Snacks","1.0","Serving","40","0.28","0.84","9.54","8.14","1.39","0","0.35"
"07/25/2014","Nectarines, Med, Fresh","Snacks","1.0","Each","62","0.45","1.51","14.98","11.20","2.41","0","0"
"07/25/2014","Peach, Medium","Snacks","1.0","Each","59","0.38","1.37","14.31","12.59","2.25","0","0"
"07/25/2014","Frozen Pineapple Tidbits","Snacks","0.5","Cup","50","0","0.50","11","9","1","0","0"
"07/25/2014","Mango Chunks","Snacks","8.0","Pieces","45","0","0.50","12","10.50","1.50","0","0"
"07/25/2014","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.69","0","12.20","107.36"
"07/25/2014","Chicken, Tenderloins","Snacks","10.0","Ounces","275","2.50","62.50","0","0","0","137.50","825"
"07/25/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"07/25/2014","Ribeye Steak","Snacks","3.0","Ounces","203","15.75","15","0","0","0","45","45"
"07/25/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"07/24/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"07/24/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"07/24/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"07/24/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"07/24/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","1","0","160"
"07/24/2014","Greek Yogurt (non fat)","Lunch","4.0","Cups","480","0","88","36","36","0","60","320"
"07/24/2014","Blackberries","Lunch","2.5","Cups","155","1.76","5","34.60","17.57","19.8","0","3.60"
"07/24/2014","Katsu Don; Kama","Dinner","1.0","Serving","984","33.47","57.20","106.77","0.38","1.12","349.70","226.52"
"07/24/2014","Edamame Soybeans, in Pods","Dinner","0.5","Cup","100","3","8","9","1","4","0","30"
"07/24/2014","Soup, Miso","Dinner","1.0","Cup","70","2","5","9","0","3","0","721"
"07/24/2014","Pluot","Snacks","1.0","Serving","40","0.28","0.84","9.54","8.14","1.39","0","0.35"
"07/24/2014","Grapes, Green European","Snacks","0.5","Cup","52","0.12","0.54","13.67","11.69","0.68","0","1.51"
"07/24/2014","Sushi, California Roll Plus","Snacks","2.0","Pieces","124","2.50","3.50","21.90","2.50","1.25","0","211.75"
"07/24/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"07/23/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"07/23/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"07/23/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"07/23/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"07/23/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","1","0","160"
"07/23/2014","Rice, White, Medium Grain, Cooked","Lunch","1.0","Cup","242","0.39","4.43","53.18","0","0.56","0","0"
"07/23/2014","Black Beans","Lunch","1.0","Cup","220","0","14","40","4","16","0","860"
"07/23/2014","Chicken, Breast, Grilled","Lunch","16.0","Ounces","627","13.44","118.27","0","0","0","322.56","282.24"
"07/23/2014","Salsa Autentica","Lunch","0.25","Cup","20","0","0","4","0","0","0","520"
"07/23/2014","Pasta, Rigatoni","Dinner","6.0","Ounces","600","3","21","126","3","6","0","0"
"07/23/2014","Sauce, Tomato, Canned","Dinner","1.0","Cup","59","0.44","3.23","13.18","10.41","3.67","0","1283.80"
