"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"01/04/2015","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"01/04/2015","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"01/04/2015","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"01/04/2015","Bread Whole Wheat Sprouted","Breakfast","1.5","Servings","135","0.75","7.50","28.50","3","7.50","0","240"
"01/04/2015","Brainwash Bacon Blue Burger","Lunch","1.0","Serving","892","60.92","74.1","7.52","3.67","1.17","237.18","1352.2"
"01/04/2015","French Fries","Lunch","1.0","Each","400","18","7","54","0","2","0","245"
"01/04/2015","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"01/04/2015","Ketchup","Lunch","0.25","Cup","58","0.19","1.4","15.9","13.66","0.18","0","668.40"
"01/04/2015","White Rice","Dinner","2.0","Cups","340","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"01/04/2015","Peanuts, Blister","Dinner","0.125","Cup","90","8","4","2.50","0.50","1.50","0","60"
"01/04/2015","Lentil Stew","Dinner","1.0","Cup","170","25","n/a","n/a","n/a","n/a","n/a","n/a"
"01/04/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/04/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/04/2015","Spinach & Kale Greek Yogurt Dip","Snacks","0.5","Cup","120","10","4","8","4","4","20","600"
"01/04/2015","Bread Whole Wheat Sprouted","Snacks","1.0","Serving","90","0.50","5","19","2","5","0","160"
"01/04/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/04/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/03/2015","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"01/03/2015","Egg, Large","Breakfast","2.0","Each","143","9.94","12.57","0.78","0.77","0","423","140"
"01/03/2015","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"01/03/2015","Bread, French Baguette","Lunch","3.0","Ounces","204","0.60","7.50","41.98","0","0.90","0","455.74"
"01/03/2015","Fish, Mahi Mahi, Filet","Lunch","4.0","Ounces","100","1","20.99","1","0","0","79.95","109.94"
"01/03/2015","Cole Slaw, Homemade","Lunch","1.0","Cup","94","3.13","1.55","14.89","0","1.80","9.60","27.60"
"01/03/2015","French Fries","Lunch","0.5","Each","200","9","3.50","27","0","1","0","122.50"
"01/03/2015","Chicken Breast Enchilada","Dinner","3.0","Servings","840","42","57","54","6","6","180","1560"
"01/03/2015","Lettuce, Romaine, Hearts, Fresh","Dinner","5.0","Cups","30","0","1","3","1","2","0","5"
"01/03/2015","Persian Cucumber","Dinner","1.5","Each","24","n/a","0.75","n/a","n/a","n/a","n/a","n/a"
"01/03/2015","Tomatoes, Cherry","Dinner","7.0","Each","21","0.24","1.5","4.66","3.13","1.43","0","5.95"
"01/03/2015","Sour Cream, Reg","Dinner","2.0","Tablespoons","60","5","1","2","1","0","20","15"
"01/03/2015","Cheese, Blue, Crumbled","Dinner","0.125","Cup","60","4.85","3.61","0.39","0.8","0","12.66","235.41"
"01/03/2015","Mayonaise","Dinner","0.5","Tablespoon","50","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"01/03/2015","Donut, Glazed","Snacks","0.5","Each","130","7","1.50","15.50","6","0.50","0","165"
"01/03/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/03/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/03/2015","Pizza 20 (Amici's Combo Scaled)","Snacks","0.125","Serving","570","29","25","52","n/a","n/a","65","2210"
"01/03/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"01/02/2015","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"01/02/2015","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"01/02/2015","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"01/02/2015","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"01/02/2015","Brussels Sprouts","Lunch","1.0","Cup","38","0.26","2.97","7.88","1.94","3.34","0","22"
"01/02/2015","Broccoli","Lunch","1.0","Cup","31","0.33","2.54","5.98","1.53","2.34","0","29.70"
"01/02/2015","Macaroni And Cheese","Lunch","1.0","Cup","200","5","8","30","6","2","10","760"
"01/02/2015","Pork, Tenderloin, Cooked","Lunch","4.0","Ounces","167","4.49","29.51","0","0","0","82.73","64.60"
"01/02/2015","Grapes, Red European","Lunch","2.0","Cups","208","0.48","2.17","54.66","46.75","2.72","0","6.4"
"01/02/2015","Udon Noodle","Dinner","8.0","Ounces","440","9","n/a","n/a","n/a","n/a","n/a","n/a"
"01/02/2015","Sauce, Curry, Red, Thai","Dinner","0.5","Cup","180","12","2","14","8","0","0","1000"
"01/02/2015","Chicken Breast Skinless - Raw","Dinner","3.0","Ounces","90","1.50","18.75","0","0","0","52.50","7.50"
"01/02/2015","Sushi, California Roll","Dinner","3.0","Each","135","2.24","3.74","24.66","2.62","1.12","0","238"
"01/02/2015","Sushi, tuna roll","Dinner","4.0","Pieces","97","0","5.18","19.43","1.30","0.65","2.59","77.71"
"01/02/2015","Roasted Seaweed","Snacks","1.0","Serving","25","2.50","1.40","1","n/a","n/a","n/a","40"
"01/02/2015","Egg, Large","Snacks","2.0","Each","143","9.94","12.57","0.78","0.77","0","423","140"
"01/02/2015","Milk, Whole, 3.25%","Snacks","0.5","Cup","74","3.96","3.84","5.86","6.42","0","12.20","52.46"
"01/02/2015","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
