"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"11/02/2014","Pretzel, Soft, Medium","Breakfast","1.0","Each","389","3.56","9.43","79.80","0.29","1.96","3.45","1614.60"
"11/02/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"11/02/2014","Salmon, Wild Pink Alaskan, Canned","Lunch","6.0","Ounces","180","3","39","0","0","0","60","180"
"11/02/2014","Bread Whole Wheat Sprouted","Lunch","1.0","Serving","90","0.50","5","19","2","5","0","160"
"11/02/2014","Wasabi Mayonnaise","Lunch","1.0","Tablespoon","100","11","0","0","0","n/a","10","75"
"11/02/2014","Potatoes, Russet, w/ Skin, Baked, Large, 3 - 4 1/4","Dinner","1.0","Each","281","0.45","6.28","63.3","4.16","6.28","0","20.93"
"11/02/2014","Uncured Black Forest Bacon","Dinner","1.5","Servings","105","7.50","9","0","0","0","22.50","360"
"11/02/2014","Cheese, Cheddar, Shredded","Dinner","0.25","Cup","114","9.36","7.3","0.36","0.15","0","29.66","175.43"
"11/02/2014","Sour Cream, Light","Dinner","2.5","Tablespoons","52","3.98","1.31","2.66","0.8","0","13.13","26.63"
"11/02/2014","Oil, Olive, Extra Virgin","Dinner","1.0","Tablespoon","120","14","0","0","0","0","0","0"
"11/02/2014","Salad, Leaf & Romaine","Dinner","2.0","Cups","15","0","1","2","0","1","0","10"
"11/02/2014","Tomatoes, Fresh, Med","Dinner","1.0","Each","22","0.25","1.8","4.82","3.23","1.48","0","6.15"
"11/02/2014","Vinegar, Balsamic","Dinner","0.5","Tablespoon","7","0","0.4","1.36","1.20","0","0","1.84"
"11/02/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"11/02/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"11/02/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","4.8","0","9.6"
"11/02/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"11/02/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
