"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"06/22/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/22/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"06/22/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"06/22/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"06/22/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"06/22/2014","Burrito; Curry Up Now; CTM","Lunch","1.0","Serving","962","33.2","41.72","119.71","6.95","120","2152.54"
"06/22/2014","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","0","14.24"
"06/22/2014","Dish, Palak Paneer, Savory Spinach w/ Indian Cheese & Brown","Lunch","0.25","Box","95","3.75","3.50","11.50","1.50","8.75","160"
"06/22/2014","Bread, Pita, White","Lunch","1.0","Each","165","0.72","5.46","33.42","0.78","0","321.60"
"06/22/2014","Sour Cream, Reg","Dinner","2.0","Tablespoons","60","5","1","2","1","20","15"
"06/22/2014","Tortilla, Corn","Dinner","6.0","Each","314","4.10","8.21","64.28","1.27","0","64.80"
"06/22/2014","Sauce, Chili, Hot","Dinner","2.0","Tablespoons","30","0","0","6","6","0","360"
"06/22/2014","Shaved Brussels Sprouts","Dinner","1.5","Cups","53","0","4.50","12","3","0","30"
"06/22/2014","Fish, Tilapia, Raw","Dinner","12.0","Ounces","343","6.86","68.57","0","0","188.57","171.43"
"06/22/2014","Bread, Crumbs, Panko","Dinner","0.5","Cup","90","1.13","2.25","18","0.75","0","67.50"
"06/22/2014","Egg Whites","Dinner","0.25","Cup","33","0","6.67","0","0","0","100"
"06/22/2014","Oil, Olive, Extra Virgin","Dinner","1.0","Tablespoon","120","14","0","0","0","0","0"
"06/22/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","14.24"
