"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"07/06/2014","Bread, Homestyle Cracked Wheat","Breakfast","2.0","Slices","160","2","6","32","4","0","320"
"07/06/2014","Egg, Large","Breakfast","2.0","Each","143","9.94","12.57","0.78","0.77","423","140"
"07/06/2014","Lite Shredded Three Cheese Blend","Breakfast","0.125","Cup","40","2","4","0.50","0","7.50","67.50"
"07/06/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/06/2014","Rice, White, Medium Grain, Cooked","Lunch","0.75","Cup","181","0.29","3.32","39.88","0","0","0"
"07/06/2014","Black Beans","Lunch","0.75","Cup","165","0","10.50","30","3","0","645"
"07/06/2014","Pico De Gallo","Lunch","0.25","Cup","20","0","0","6","4","0","300"
"07/06/2014","Tortilla, Flour, Burrito","Lunch","1.0","Each","290","9","7","44","0","0","670"
"07/06/2014","Pork, Carne Al Pastor, w/ Adobo Seasoning, Diced","Lunch","4.0","Ounces","120","4","18.67","1.33","1.33","53.33","386.67"
"07/06/2014","Sauce, Hoisin","Lunch","1.0","Tablespoon","35","0.54","0.53","7.5","4.36","0.48","258.40"
"07/06/2014","Soda, Root Beer","Lunch","12.0","Fluid ounces","180","0","0","46.50","46.50","0","45"
"07/06/2014","Chicken, Breast, Grilled","Dinner","7.0","Ounces","217","7","38.50","0","0","113.75","326.67"
"07/06/2014","Raisins, Natural, Calif","Dinner","0.125","Cup","65","0","0.50","15.50","14.50","0","5"
"07/06/2014","Nuts, Pecan","Dinner","1.0","Tablespoon","53","5.50","0.75","1","0.25","0","0"
"07/06/2014","Pita Bread","Dinner","2.0","Servings","260","20","8","52","0","0","400"
"07/06/2014","Oil, Olive, Extra Virgin","Dinner","0.5","Tablespoon","60","7","0","0","0","0","0"
"07/06/2014","Sour Cream, Reg","Dinner","1.5","Tablespoons","45","3.75","0.75","1.50","0.75","15","11.25"
"07/06/2014","Strawberries, Whole","Dinner","1.5","Cups","69","0.65","1.45","16.59","10.56","0","2.16"
"07/06/2014","Watermelon, Diced, Fresh","Dinner","1.5","Cups","68","0.34","1.39","17.21","14.14","0","2.28"
"07/06/2014","Blueberries","Dinner","0.75","Cup","63","0.37","0.82","16.8","11.6","0","1.11"
"07/06/2014","Honey, Light","Dinner","0.5","Tablespoon","32","0","0.3","8.65","8.62","0","0.42"
"07/06/2014","Juice, Lime","Dinner","1.0","Tablespoon","4","0.1","0.6","1.27","0.26","0","0.30"
"07/06/2014","Bar, Clif Bar, Black Cherry Almond","Snacks","1.0","Package","240","5","9","44","23","0","135"
"07/06/2014","Bar, Clif Bar, White Chocolate Macadamia","Snacks","1.0","Package","260","7","9","41","21","0","240"
"07/06/2014","Cafe Mocha, w/ Nonfat, Grande","Snacks","1.0","Each","220","2.50","13","42","n/a","n/a","n/a"
"07/06/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","0","9.6"
"07/06/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","14.43","0","1.18"
"07/06/2014","Extra Lean Ground Beef 96%","Snacks","2.667","Ounces","87","2.67","14","0","0","40.1","43.34"
"07/06/2014","Pasta, Pappardelle, dry, 1/4 bag","Snacks","1.25","Ounces","138","0.94","5","25.63","0.63","n/a","n/a"
"07/06/2014","Tomatoes, Paste, Organic","Snacks","0.5","Tablespoon","8","0","0.25","1.50","0.25","0","7.50"
"07/05/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/05/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/05/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/05/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/05/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/05/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/05/2014","Rice, White, Medium Grain, Cooked","Lunch","0.75","Cup","181","0.29","3.32","39.88","0","0","0"
"07/05/2014","Black Beans","Lunch","0.75","Cup","165","0","10.50","30","3","0","645"
"07/05/2014","Chicken, Breast, Grilled","Lunch","6.0","Ounces","186","6","33","0","0","97.50","280"
"07/05/2014","Guacamole, Med","Lunch","4.0","Tablespoons","108","9.20","1.60","7.40","0.60","0","239"
"07/05/2014","Bok Choy","Lunch","1.0","Cup","7","0","0.67","1.33","0.67","0","30"
"07/05/2014","Pico De Gallo","Lunch","0.25","Cup","20","0","0","6","4","0","300"
"07/05/2014","Mixed Drink, Martini, f/ Rec","Dinner","4.0","Fluid ounces","106","0.60","0","0.25","0","0","59.95"
"07/05/2014","Bread, French Baguette","Dinner","2.0","Ounces","136","0.40","5","27.98","0","0","303.83"
"07/05/2014","Oil, Olive, Extra Virgin","Dinner","1.0","Tablespoon","120","14","0","0","0","0","0"
"07/05/2014","Pasta, Linguine","Dinner","4.0","Ounces","400","2","14","84","2","0","0"
"07/05/2014","Clams, Canned","Dinner","3.0","Ounces","126","1.66","21.72","4.36","0","56.95","95.20"
"07/05/2014","Organic Tomato Basil Marinara","Dinner","0.5","Cup","55","2.50","1","8","3","0","440"
"07/05/2014","Tomatoes, Fresh, Med","Dinner","1.0","Each","22","0.25","1.8","4.82","3.23","0","6.15"
"07/05/2014","Watermelon, Diced, Fresh","Dinner","0.5","Cup","23","0.11","0.46","5.74","4.71","0","0.76"
"07/05/2014","Cake, Chocolate, Chocolate Frosted","Dinner","2.0","Ounces","207","9.27","2.32","30.85","0","23.73","188.71"
"07/05/2014","Cake, Vanilla, Layer","Dinner","2.0","Ounces","182","9.80","1.40","22.40","15.40","10.50","147"
"07/05/2014","Cream, Half & Half","Snacks","2.0","Tablespoons","39","3.45","0.89","1.29","0.5","11.10","12.30"
"07/05/2014","Popcorn, Oil Popped","Snacks","4.0","Cups","257","19.16","3.21","19.83","0.20","0","465.52"
"07/05/2014","Butter, Unsalted","Snacks","1.0","Tablespoon","102","11.52","0.12","0.1","0.1","30.53","1.56"
"07/04/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/04/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/04/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/04/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/04/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/04/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/04/2014","Brainwash Bacon Blue Burger","Lunch","1.0","Serving","892","60.92","74.1","7.52","3.67","237.18","1352.2"
"07/04/2014","French Fries","Lunch","1.0","Each","400","18","7","54","0","0","245"
"07/04/2014","Ketchup","Lunch","0.25","Cup","58","0.19","1.4","15.9","13.66","0","668.40"
"07/04/2014","Mustard, Yellow, Prepared","Lunch","0.25","Cup","40","2.41","2.62","3.20","0.52","0","681"
"07/04/2014","Beer","Lunch","22.0","Fluid ounces","281","0","3","23.17","0","0","26.11"
"07/04/2014","Potatoes, Russet, w/ Skin, Baked, Large, 3 - 4 1/4","Dinner","1.0","Each","281","0.45","6.28","63.3","4.16","0","20.93"
"07/04/2014","Corn, Yellow, Super Sweet","Dinner","2.0","Each","280","2","10","66","10","0","10"
"07/04/2014","Steak, New York Strip, 10 oz","Dinner","1.125","Each","613","39.38","65.25","0","0","136.13","443.25"
"07/04/2014","Butter, Unsalted","Dinner","1.0","Tablespoon","102","11.52","0.12","0.1","0.1","30.53","1.56"
"07/04/2014","Sour Cream, Reg","Dinner","2.0","Tablespoons","60","5","1","2","1","20","15"
"07/04/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","14.24"
"07/04/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","0","9.6"
"07/04/2014","Strawberries, Whole","Snacks","3.0","Cups","138","1.30","2.89","33.18","21.12","0","4.32"
