"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"06/29/2014","Egg, Fried, Whole, Large","Breakfast","3.0","Each","270","21.13","18.80","1.24","1.15","630.66","281.52"
"06/29/2014","Potatoes, Red, Baby, Cooked","Breakfast","1.0","Cup","151","0.26","3.91","33.30","2.43","0","20.40"
"06/29/2014","Organic Tomato Basil Marinara","Breakfast","0.5","Cup","55","2.50","1","8","3","0","440"
"06/29/2014","Cheese, Cheddar, White, Extra Sharp","Breakfast","1.0","Ounce","110","9","7","0","0","30","180"
"06/29/2014","Biscuit","Breakfast","0.5","Each","93","4.21","1.58","12.37","0.89","0.26","268.26"
"06/29/2014","Jam","Breakfast","1.0","Tablespoon","56","0.1","0.7","13.77","9.70","0","6.40"
"06/29/2014","Bread, Whole Wheat","Breakfast","2.0","Slices","138","1.88","7.25","23.12","3.12","0","264.32"
"06/29/2014","Butter, Salted","Breakfast","2.0","Teaspoons","68","7.68","0.8","0.1","0.1","20.35","54.53"
"06/29/2014","Tortilla, Flour, Burrito","Lunch","1.0","Each","290","9","7","44","0","0","670"
"06/29/2014","Chinese Dinner, Fried Rice, BBQ Pork","Lunch","1.0","Cup","316","19","11","24","n/a","n/a","326"
"06/29/2014","Egg, Fried, Whole, Large","Lunch","1.0","Each","90","7.4","6.27","0.41","0.38","210.22","93.84"
"06/29/2014","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","0","14.24"
"06/29/2014","Chicken, Breast, Grilled","Lunch","4.0","Ounces","124","4","22","0","0","65","186.67"
"06/29/2014","Sauce, Chili, Hot","Lunch","0.25","Cup","60","0","0","12","12","0","720"
"06/29/2014","Chicken, Wing, w/ Skin, Cooked","Dinner","5.0","Each","493","33.8","45.66","0","0","142.80","139.40"
"06/29/2014","Juice, Lime","Dinner","1.0","Tablespoon","4","0.1","0.6","1.27","0.26","0","0.30"
