"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"07/13/2014","Bagel, Everything","Breakfast","1.0","Each","280","2","10","57","5","0","730"
"07/13/2014","Egg, Scrambled, Large","Breakfast","2.0","Each","204","14.90","13.53","2.68","2.11","429.44","341.60"
"07/13/2014","Cheese, Cheddar, Slice","Breakfast","1.0","Each","113","9.28","6.97","0.36","0.15","29.40","173.88"
"07/13/2014","Bacon, Uncured, Apple Smoked","Breakfast","1.0","Piece","90","7","5","0","0","15","240"
"07/13/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/13/2014","Brainwash Bacon Blue Burger","Lunch","0.5","Serving","446","30.46","37.1","3.76","1.84","118.59","676.1"
"07/13/2014","French Fries","Lunch","0.5","Each","200","9","3.50","27","0","0","122.50"
"07/13/2014","Ketchup","Lunch","0.125","Cup","29","0.9","0.52","7.54","6.83","0","334.20"
"07/13/2014","Mustard, Yellow, Prepared","Lunch","0.125","Cup","20","1.20","1.31","1.60","0.26","0","340.50"
"07/13/2014","Brainwash Bacon Blue Burger","Dinner","0.5","Serving","446","30.46","37.1","3.76","1.84","118.59","676.1"
"07/13/2014","French Fries","Dinner","0.5","Each","200","9","3.50","27","0","0","122.50"
"07/13/2014","Ketchup","Dinner","0.125","Cup","29","0.9","0.52","7.54","6.83","0","334.20"
"07/13/2014","Mustard, Yellow, Prepared","Dinner","0.125","Cup","20","1.20","1.31","1.60","0.26","0","340.50"
"07/13/2014","Banana, Large, 8 - 8 7/8 Long","Snacks","1.0","Each","121","0.45","1.48","31.6","16.63","0","1.36"
"07/13/2014","Strawberries, Whole","Snacks","3.0","Cups","138","1.30","2.89","33.18","21.12","0","4.32"
"07/13/2014","Ginger Chew","Snacks","5.0","Pieces","100","0","0","25","25","0","0"
"07/12/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/12/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/12/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/12/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/12/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/12/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/12/2014","Chips, Tortilla, White Corn","Lunch","13.0","Pieces","130","6.50","1.86","13.93","0","0","74.29"
"07/12/2014","Chicken, Breast, Grilled","Lunch","4.0","Ounces","157","3.36","29.57","0","0","80.64","70.56"
"07/12/2014","Black Beans","Lunch","0.75","Cup","165","0","10.50","30","3","0","645"
"07/12/2014","Rice, White, Medium Grain, Cooked","Lunch","0.75","Cup","181","0.29","3.32","39.88","0","0","0"
"07/12/2014","Pico De Gallo","Lunch","0.25","Cup","20","0","0","6","4","0","300"
"07/12/2014","Plantain, Slices, Cooked","Lunch","0.5","Cup","89","0.14","0.61","23.99","10.78","0","3.85"
"07/12/2014","Sour Cream, Reg","Lunch","1.0","Tablespoon","30","2.50","0.50","1","0.50","10","7.50"
"07/12/2014","Baby Back Ribs","Dinner","6.0","Ounces","420","36","24","0","0","120","112.50"
"07/12/2014","Salmon","Dinner","1.0","Ounce","48","2.50","6","0","0","17.50","13.75"
"07/12/2014","Bok Choy","Dinner","0.5","Cup","3","0","0.33","0.67","0.33","0","15"
"07/12/2014","Sauce, Pesto","Dinner","2.0","Teaspoons","42","4.33","0.50","0.50","0","0","140"
"07/12/2014","Chicken, Breast, Grilled","Dinner","4.0","Ounces","157","3.36","29.57","0","0","80.64","70.56"
"07/12/2014","Peanuts, Raw","Dinner","1.0","Tablespoon","52","4.49","2.35","1.47","0.36","0","1.64"
"07/12/2014","Noodles, Soba, Cooked","Dinner","0.5","Cup","56","0.6","2.88","12.22","0","0","34.20"
"07/12/2014","Mixed Drink, Martini, f/ Rec","Dinner","12.0","Fluid ounces","318","1.80","0","0.75","0","0","179.85"
"07/12/2014","Fish, Tuna","Dinner","1.0","Ounce","40","0.33","8.33","0","n/a","16.67","13.33"
"07/12/2014","Ice Cream, Strawberry","Dinner","0.5","Cup","63","2.77","1.6","9.11","0","9.57","19.80"
"07/12/2014","Ice Cream Cone, Sugar","Dinner","1.0","Each","40","0.38","0.79","8.41","2.57","0","32"
"07/12/2014","Dessert, Cannolis, Chocolate Chip","Dinner","0.5","Each","95","5.50","2","10","1.50","10","27.50"
"07/12/2014","Banana, Large, 8 - 8 7/8 Long","Snacks","1.0","Each","121","0.45","1.48","31.6","16.63","0","1.36"
"07/12/2014","Ginger Chew","Snacks","4.0","Pieces","80","0","0","20","20","0","0"
"07/12/2014","Strawberries, Whole","Snacks","3.0","Cups","138","1.30","2.89","33.18","21.12","0","4.32"
"07/12/2014","Whiskey, 80 Proof","Snacks","1.0","Fluid ounce","65","0","0","0","0","0","0.28"
"07/12/2014","Wine, Champagne","Snacks","4.0","Fluid ounces","91","0","0","2.20","0","0","0"
"07/12/2014","Wine, Red","Snacks","4.0","Fluid ounces","100","0","0.8","3.7","0.73","0","4.70"
"07/12/2014","Cupcake, Red Velvet, w/ Buttercreme Icing","Snacks","2.0","Each","420","24","2","50","38","50","250"
"07/12/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","0","2.23"
"07/11/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/11/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/11/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/11/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/11/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/11/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/11/2014","Broccoli Florets","Lunch","4.75","Cups","119","0","14.25","19","9.50","0","118.75"
"07/11/2014","Carrot Stixx","Lunch","12.0","Ounces","140","n/a","n/a","n/a","n/a","n/a","n/a"
"07/11/2014","Turkey Sandwich Meat","Lunch","9.0","Slices","270","4.50","45","0","0","135","3150"
"07/11/2014","Salad; 2014/07/11","Dinner","2.0","Servings","275","14.92","3.51","37.14","14.94","0","20.60"
"07/11/2014","Chicken, Rotisserie, Half","Dinner","1.0","Each","610","29","89","1","1","405","1860"
"07/11/2014","Chunky Soup, Sirloin Burger","Snacks","2.0","Cups","280","10","14","34","6","40","1580"
"07/11/2014","Candy, Mints, Peppermint","Snacks","3.0","Each","10","0","0","2","2","0","0"
"07/11/2014","Greek Yogurt, 0% Fat, Plain","Snacks","4.0","Cups","480","0","88","28","24","0","280"
"07/11/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","0","9.6"
"07/10/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/10/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/10/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/10/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/10/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/10/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/10/2014","Greek Yogurt (non fat)","Lunch","4.0","Cups","480","0","88","36","36","60","320"
"07/10/2014","Blackberries","Lunch","2.5","Cups","155","1.76","5","34.60","17.57","0","3.60"
"07/10/2014","Sushi, California Roll","Dinner","6.0","Pieces","271","4.50","7.50","49.50","5.25","0","477.75"
"07/10/2014","Edamame Soybeans, in Pods","Dinner","0.75","Cup","150","4.50","12","13.50","1.50","0","45"
"07/10/2014","Squash, Tempura Battered","Dinner","1.0","Each","150","8","1","17","1","0","910"
"07/10/2014","Salmon","Dinner","2.0","Ounces","95","5","12","0","0","35","27.50"
"07/10/2014","Fish, Tuna","Dinner","2.0","Ounces","80","0.67","16.67","0","n/a","33.33","26.67"
"07/10/2014","Pico De Gallo","Dinner","0.25","Cup","20","0","0","6","4","0","300"
"07/10/2014","Sauce, Soy, Ponzu Citrus","Dinner","1.0","Tablespoon","10","0","0","2","2","0","400"
"07/10/2014","Soy Sauce, Low Sodium","Dinner","0.25","Cup","38","0.6","3.72","6.13","1.22","0","2399.76"
"07/10/2014","Avocado","Dinner","0.25","Each","80","7.37","1","4.29","0.33","0","3.52"
"07/10/2014","Sushi, California Roll Plus","Dinner","3.0","Pieces","185","3.75","5.25","32.85","3.75","0","317.63"
"07/10/2014","Soymilk Vanilla Organic","Snacks","1.0","Cup","100","3.50","7","9","7","n/a","95"
"07/10/2014","Banana, Small, 6 to 6 7/8 Long","Snacks","1.0","Each","90","0.33","1.10","23.7","12.35","0","1.1"
"07/10/2014","Bar, Granola, Wholesome Favorites, Baked Apple","Snacks","1.25","Ounces","138","2.50","1.25","28.75","12.50","0","100"
"07/10/2014","Tomatoes, Cherry","Snacks","10.0","Each","31","0.34","1.50","6.66","4.47","0","8.50"
"07/10/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","0","2.23"
"07/09/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/09/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/09/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/09/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/09/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/09/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/09/2014","Green Beans","Lunch","16.0","Ounces","133","0","10.67","32","16","0","26.67"
"07/09/2014","Chicken, Breast, Grilled","Lunch","10.0","Ounces","392","8.40","73.92","0","0","201.60","176.40"
